Property_Name;Location;Owner_Name;Information_Responsible;Predominant_Soil_Type;Lactating_Cows;Dry_Cows;Heifers;Calves;Bulls;Lactating_Cows_Weight;Dry_Cows_Weight;Heifers_Weight;Calves_Weight;Bulls_Weight;Females;Males;Cows_Discarded_Per_Year;Discarded_Cows_Destination;Productivity;Total_Milk_Production;Milk_Protein_Percentage;Milk_Fat_Percentage;Grass_Fresh;Grass_Hay_On_Farm;Grass_Hay_Off_Farm;Grass_Silage_On_Or_Off_Farm;Maize_Silage;Lucerne_Alfalfa_Silage;Other_Fodder;Straw_Peanut_Hull_Others;Crop_Residues;Hay_Oat_Clover;Sorghum_Silage;Wheat;Barley;Maize_Grain;Oats;Rice;Rye;Sorghum;Other_Cereals;DDG;Soybean_Meal_Hull;Sugarbeet_Molasses;Whey_Powder;Rapeseed_Cake_Meal;Sunflower_Cake_Meal;Cottonseed_Cake_Meal;Beans_Peas;Cassava_Tapioca;Other_Feed;Milk_Powder_Dry_Matter;Citrus_Pulp;Mineral_Mix;Lucerne_Alfalfa_Hay;Brewers_Grain_Brewery_Residue;Total;DMI_Check;Diesel;Gasoline;Other_Fuel;Electricity_Grid;Photovoltaic_Energy;Pasture_Area;Non_Organic_Fertilizer;Organic_Fertilizer;co2_enteric_fermentation;co2_manure_management;co2_fertilizer_emissions;co2_energy_emissions;co2_total_emissions
BR – 1;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;13.0;4.0;8.0;15.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;4.0;venda;15.4656290832455;73384.41;3.32;4.13;41241.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47168.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88410.3;88410.3;0.0;0.0;0.0;2500.0;0.0;3.0;2304.0;0.0;51000.0;3471.4500000000003;7209.216;582.5;62263.166
BR – 2;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;26.0;5.0;12.0;19.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;15.0;venda;17.117210748156;162442.33;3.19;3.96;0.0;18980.0;0.0;6935.0;131400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56684.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1423.5;0.0;0.0;215423.0;215423.0;2000.0;0.0;0.0;9600.0;0.0;3.5;455.0;0.0;89750.0;6116.7;1423.695;7596.8;104887.195
BR – 3;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;30.0;6.0;20.0;27.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;12.0;venda;22.7724063926941;249357.85;2.96;3.35;0.0;2190.0;14924.85;36500.0;100740.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21900.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115741.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;291996.35;291996.35;2000.0;0.0;0.0;12000.0;0.0;4.0;854.0;0.0;111000.0;7537.35;2672.166;8156.0;129365.516
BR – 4;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;32.0;10.0;12.0;9.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;9.0;venda;16.7574297945205;195726.78;3.48;4.2;89592.9;0.0;0.0;0.0;45990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2774.0;0.0;0.0;138356.9;138356.9;600.0;0.0;0.0;9600.0;0.0;4.0;696.0;0.0;106000.0;7598.45;2177.784;3844.8;119621.034
BR – 5;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;30.0;4.0;13.0;20.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;5.0;venda;19.9678904109589;218648.4;3.31;3.92;153022.6;0.0;0.0;0.0;59130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1642.5;0.0;0.0;290445.1;290445.1;0.0;0.0;0.0;12000.0;0.0;3.0;433.5;0.0;99750.0;6743.200000000002;1356.4215000000002;2796.0;110645.6215
BR – 6;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;22.0;7.0;10.0;10.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;17.8282353673724;143160.73;3.39;3.91;85337.0;0.0;0.0;0.0;161512.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3285.0;0.0;0.0;0.0;0.0;0.0;0.0;22995.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;273129.5;273129.5;4800.0;0.0;0.0;9706.88;0.0;20.0;10500.0;0.0;76250.0;5412.450000000001;32854.5;15125.70304;129642.65304
BR – 7;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;60.0;6.0;60.0;30.0;0.0;550.0;580.0;350.0;200.0;0.0;0.0;0.0;0.0;venda;29.9022168949772;654858.55;3.25;3.99;0.0;0.0;0.0;0.0;1024920.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;265647.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1290567.0;1290567.0;6000.0;0.0;0.0;0.0;62400.0;13.3;3990.0;0.0;217500.0;16602.600000000002;12484.71;16080.000000000002;262667.31
BR – 8;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;6.0;2.0;5.0;5.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;3.0;venda;11.5444657534247;25282.38;3.31;3.9;25046.3;3248.5;0.0;0.0;16425.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4022.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48742.1;48742.1;0.0;0.0;0.0;4096.0;0.0;7.0;875.0;0.0;23750.0;1661.45;2737.875;954.368;29103.693
BR – 9;Minas Gerais;Anonymous;Anonymous;Latossolo Vermelho;12.0;10.0;10.0;10.0;0.0;450.0;480.0;300.0;150.0;0.0;0.0;0.0;0.0;venda;8.87822374429224;38886.62;3.49;3.63;49968.5;0.0;0.0;0.0;29200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79168.5;79168.5;0.0;0.0;0.0;4100.0;0.0;0.0;0.0;0.0;55000.0;3739.5000000000005;0.0;955.3000000000001;59694.8
BR – 10;Pernambuco;Anonymous;Anonymous;Planossolo;80.0;11.0;48.0;80.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;40.0;venda;19.1667126712329;559668.01;3.14;3.48;218609.45;0.0;0.0;0.0;0.0;0.0;249550.5;0.0;0.0;0.0;0.0;0.0;0.0;100615.9;0.0;0.0;0.0;0.0;0.0;0.0;41595.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;610371.25;610196.05;1.2;0.0;0.0;95625.0;0.0;150.0;1500.0;0.0;289750.0;19293.15;4693.5;22283.841;336020.49100000004
BR – 11;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;88.0;10.0;32.0;36.0;0.0;650.0;680.0;380.0;200.0;0.0;0.0;0.0;12.0;venda;33.2209311955168;1067056.31;3.16;3.52;71233.4;0.0;0.0;0.0;377629.0;0.0;0.0;7898.6;0.0;5913.0;0.0;0.0;0.0;0.0;102652.6;0.0;0.0;0.0;0.0;0.0;133298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15768.0;0.0;0.0;0.0;0.0;714392.6;819001.6;5000.0;0.0;0.0;77184.0;0.0;10.0;3000.0;0.0;274500.0;24202.800000000003;9387.0;31383.872;339473.67199999996
BR – 12;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;32.0;9.0;15.0;10.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;7.0;venda;19.7551883561644;230740.6;2.23;3.88;177828.0;730.0;0.0;0.0;137240.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52888.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368686.5;368686.5;4000.0;0.0;0.0;6000.0;0.0;25.0;2970.0;0.0;107500.0;7660.150000000001;9293.13;12118.0;136571.28
